Num  Name,Epoch,q,e,i,w,Node,Tp,Ref,
C/2005 T11 (SOHO),53659,0.0072,1,138.74,60.78,335.94,20051016.35,SAO,_2008
C/2005 U2 (SOHO),53662,0.0055,1,143.98,76.49,0.68,20051018.7,SAO,_2008
C/2005 U3 (SOHO),53662,0.0052,1,144.45,84.51,6.83,20051019.46,SAO,_2008
C/2005 U4 (SOHO),53663,0.0051,1,144.83,77.91,359.13,20051019.79,SAO,_2008
C/2005 U5 (SOHO),53665,0.0049,1,131.09,49.13,319.04,20051022.2,SAO,_2008
C/2005 U6 (SOHO),53667,0.0056,1,143.53,80.07,4.01,20051024.13,SAO,_2008
C/2005 U7 (SOHO),53668,0.0051,1,145.51,89.42,10.08,20051024.88,SAO,_2008
C/2005 U8 (SOHO),53673,0.0053,1,149.1,66.59,344.14,20051030.41,SAO,_2008
C/2005 V2 (SOHO),53677,0.0051,1,146.79,79.26,354.9,20051103,SAO,_2008
C/2005 V3 (SOHO),53678,0.0049,1,145.24,81.42,4,20051104.31,SAO,_2008
C/2005 V4 (SOHO),53679,0.0049,1,143.53,81.01,3.19,20051105.33,SAO,_2008
C/2005 V5 (SOHO),53682,0.0051,1,146.95,79.52,354.74,20051108.16,SAO,_2008
C/2005 V6 (SOHO),53684,0.0052,1,143.96,80.43,1.28,20051109.56,SAO,_2008
C/2005 V7 (SOHO),53684,0.005,1,144.16,85.92,7.85,20051109.68,SAO,_2008
C/2005 V8 (SOHO),53684,0.0266,1,75.64,102.64,341.92,20051109.91,SAO,_2008
C/2005 V9 (SOHO),53689,0.0073,1,138.75,61.35,337.13,20051114.86,SAO,_2008
